dt_reference;id_city_origin;id_city_destination;freight_cost;distance
2022-01-07;5107602;4118204;270.0;1578.91
2022-01-21;5107602;4118204;300.0;1578.91
2022-02-11;5107602;4118204;290.0;1578.91
2022-02-18;5107602;4118204;280.0;1578.91
2022-02-25;5107602;4118204;305.0;1578.91
2022-03-18;5107602;4118204;320.0;1578.91
2022-03-25;5107602;4118204;350.0;1578.91
2022-04-01;5107602;4118204;330.0;1578.91
2022-06-03;5107602;4118204;355.0;1578.91
2022-06-10;5107602;4118204;370.0;1578.91
2022-06-17;5107602;4118204;380.0;1578.91
2022-06-24;5107602;4118204;390.0;1578.91
2022-07-15;5107602;4118204;400.0;1578.91
2022-07-22;5107602;4118204;410.0;1578.91
2022-08-19;5107602;4118204;340.0;1578.91
2022-09-02;5107602;4118204;310.0;1578.91
2022-12-09;5107602;4118204;287.5;1578.91
2023-01-13;5107602;4118204;360.0;1578.91
2023-05-12;5107602;4118204;321.0;1578.91
2023-06-30;5107602;4118204;335.0;1578.91
2023-07-07;5107602;4118204;383.75;1578.91
2023-07-21;5107602;4118204;415.84;1578.91
2023-08-04;5107602;4118204;425.0;1578.91
2023-09-08;5107602;4118204;395.0;1578.91
2023-09-22;5107602;4118204;405.0;1578.91
2023-09-29;5107602;4118204;376.5;1578.91
2023-11-03;5107602;4118204;375.0;1578.91
2023-11-17;5107602;4118204;356.67;1578.91
2024-01-26;5107602;4118204;315.0;1578.91
2024-03-15;5107602;4118204;295.0;1578.91
2024-03-22;5107602;4118204;285.0;1578.91
2024-05-24;5107602;4118204;365.0;1578.91
2022-01-07;5107925;4118204;370.0;2189.78
2022-01-21;5107925;4118204;390.0;2189.78
2022-01-28;5107925;4118204;372.5;2189.78
2022-02-11;5107925;4118204;375.0;2189.78
2022-02-18;5107925;4118204;420.0;2189.78
2022-02-25;5107925;4118204;400.0;2189.78
2022-03-25;5107925;4118204;472.5;2189.78
2022-04-01;5107925;4118204;442.0;2189.78
2022-04-08;5107925;4118204;480.0;2189.78
2022-04-15;5107925;4118204;500.0;2189.78
2022-04-22;5107925;4118204;470.0;2189.78
2022-05-06;5107925;4118204;440.0;2189.78
2022-06-10;5107925;4118204;540.0;2189.78
2022-06-17;5107925;4118204;550.0;2189.78
2022-07-01;5107925;4118204;525.0;2189.78
2022-07-08;5107925;4118204;560.0;2189.78
2022-07-15;5107925;4118204;522.0;2189.78
2022-07-29;5107925;4118204;503.0;2189.78
2022-08-05;5107925;4118204;494.5;2189.78
2022-08-12;5107925;4118204;490.0;2189.78
2022-08-19;5107925;4118204;460.0;2189.78
2022-08-26;5107925;4118204;455.0;2189.78
2022-09-02;5107925;4118204;450.0;2189.78
2022-10-07;5107925;4118204;430.0;2189.78
2022-10-14;5107925;4118204;380.0;2189.78
2022-10-28;5107925;4118204;410.0;2189.78
2023-02-03;5107925;4118204;520.0;2189.78
2023-02-24;5107925;4118204;510.0;2189.78
2023-03-03;5107925;4118204;434.0;2189.78
2023-03-10;5107925;4118204;465.0;2189.78
2023-03-24;5107925;4118204;424.0;2189.78
2023-04-06;5107925;4118204;453.0;2189.78
2023-06-30;5107925;4118204;530.0;2189.78
2023-07-14;5107925;4118204;541.25;2189.78
2023-07-21;5107925;4118204;532.5;2189.78
2023-08-04;5107925;4118204;515.0;2189.78
2023-09-01;5107925;4118204;495.0;2189.78
2023-09-08;5107925;4118204;474.0;2189.78
2023-09-15;5107925;4118204;504.0;2189.78
2023-09-22;5107925;4118204;535.0;2189.78
2023-10-06;5107925;4118204;545.0;2189.78
2023-10-20;5107925;4118204;505.0;2189.78
2023-12-08;5107925;4118204;478.0;2189.78
2024-02-02;5107925;4118204;445.0;2189.78
2024-02-23;5107925;4118204;432.5;2189.78
2024-03-08;5107925;4118204;415.0;2189.78
2024-04-12;5107925;4118204;385.0;2189.78
2024-05-17;5107925;4118204;457.5;2189.78
2024-05-24;5107925;4118204;475.0;2189.78
2024-06-07;5107925;4118204;456.7;2189.78
2024-06-14;5107925;4118204;473.3;2189.78
2024-06-21;5107925;4118204;443.3;2189.78
2024-06-28;5107925;4118204;466.7;2189.78
2022-01-07;5102637;4118204;370.0;2194.56
2022-01-21;5102637;4118204;385.0;2194.56
2022-01-28;5102637;4118204;430.0;2194.56
2022-02-11;5102637;4118204;420.0;2194.56
2022-02-25;5102637;4118204;410.0;2194.56
2022-03-11;5102637;4118204;390.0;2194.56
2022-03-25;5102637;4118204;460.0;2194.56
2022-04-01;5102637;4118204;457.0;2194.56
2022-04-08;5102637;4118204;474.0;2194.56
2022-04-22;5102637;4118204;459.0;2194.56
2022-04-29;5102637;4118204;464.0;2194.56
2022-05-27;5102637;4118204;480.0;2194.56
2022-06-10;5102637;4118204;530.0;2194.56
2022-06-24;5102637;4118204;500.0;2194.56
2022-07-01;5102637;4118204;550.0;2194.56
2022-08-12;5102637;4118204;490.0;2194.56
2022-08-19;5102637;4118204;440.0;2194.56
2022-08-26;5102637;4118204;435.0;2194.56
2022-09-09;5102637;4118204;400.0;2194.56
2022-09-23;5102637;4118204;445.0;2194.56
2022-10-21;5102637;4118204;380.0;2194.56
2022-12-16;5102637;4118204;450.0;2194.56
2023-02-10;5102637;4118204;483.0;2194.56
2023-02-17;5102637;4118204;520.0;2194.56
2023-05-19;5102637;4118204;458.0;2194.56
2023-05-26;5102637;4118204;470.0;2194.56
2023-06-23;5102637;4118204;482.0;2194.56
2023-06-30;5102637;4118204;499.0;2194.56
2023-07-14;5102637;4118204;522.0;2194.56
2023-07-21;5102637;4118204;506.0;2194.56
2023-07-28;5102637;4118204;510.0;2194.56
2023-09-15;5102637;4118204;496.5;2194.56
2023-09-22;5102637;4118204;515.0;2194.56
2023-09-29;5102637;4118204;534.0;2194.56
2023-10-06;5102637;4118204;549.0;2194.56
2023-10-13;5102637;4118204;525.0;2194.56
2023-10-27;5102637;4118204;527.25;2194.56
2023-11-03;5102637;4118204;509.5;2194.56
2024-02-16;5102637;4118204;425.0;2194.56
2024-02-23;5102637;4118204;427.5;2194.56
2024-03-08;5102637;4118204;422.5;2194.56
2024-03-22;5102637;4118204;360.0;2194.56
2024-03-28;5102637;4118204;355.0;2194.56
2024-04-19;5102637;4118204;415.0;2194.56
2024-05-10;5102637;4118204;407.5;2194.56
2024-05-17;5102637;4118204;465.0;2194.56
2024-05-24;5102637;4118204;475.0;2194.56
2024-06-14;5102637;4118204;455.0;2194.56
2024-06-28;5102637;4118204;446.5;2194.56
2022-01-14;5103403;4118204;350.0;1794.22
2022-01-28;5103403;4118204;320.0;1794.22
2022-02-04;5103403;4118204;330.0;1794.22
2022-02-11;5103403;4118204;340.0;1794.22
2022-03-18;5103403;4118204;310.0;1794.22
2022-04-01;5103403;4118204;400.0;1794.22
2022-04-22;5103403;4118204;360.0;1794.22
2022-05-13;5103403;4118204;380.0;1794.22
2022-06-10;5103403;4118204;385.0;1794.22
2022-06-17;5103403;4118204;390.0;1794.22
2022-06-24;5103403;4118204;420.0;1794.22
2022-07-01;5103403;4118204;430.0;1794.22
2022-07-15;5103403;4118204;460.0;1794.22
2022-08-12;5103403;4118204;410.0;1794.22
2022-09-09;5103403;4118204;370.0;1794.22
2023-03-31;5103403;4118204;415.0;1794.22
2023-05-26;5103403;4118204;404.0;1794.22
2023-06-02;5103403;4118204;399.0;1794.22
2023-06-23;5103403;4118204;392.5;1794.22
2023-07-07;5103403;4118204;426.25;1794.22
2023-07-14;5103403;4118204;444.0;1794.22
2023-07-21;5103403;4118204;445.0;1794.22
2023-08-04;5103403;4118204;450.0;1794.22
2023-09-22;5103403;4118204;435.0;1794.22
2023-11-10;5103403;4118204;440.0;1794.22
2024-01-26;5103403;4118204;405.0;1794.22
2024-02-16;5103403;4118204;345.0;1794.22
2024-03-15;5103403;4118204;365.0;1794.22
2024-06-07;5103403;4118204;395.0;1794.22
2022-01-07;5107040;4118204;290.0;1710.2
2022-01-14;5107040;4118204;280.0;1710.2
2022-01-28;5107040;4118204;300.0;1710.2
2022-02-11;5107040;4118204;315.0;1710.2
2022-02-18;5107040;4118204;302.5;1710.2
2022-02-25;5107040;4118204;306.25;1710.2
2022-03-04;5107040;4118204;310.0;1710.2
2022-03-11;5107040;4118204;312.5;1710.2
2022-03-25;5107040;4118204;325.0;1710.2
2022-04-01;5107040;4118204;370.0;1710.2
2022-04-08;5107040;4118204;365.0;1710.2
2022-04-22;5107040;4118204;360.0;1710.2
2022-04-29;5107040;4118204;375.0;1710.2
2022-05-13;5107040;4118204;390.0;1710.2
2022-06-03;5107040;4118204;380.0;1710.2
2022-06-10;5107040;4118204;397.5;1710.2
2022-06-17;5107040;4118204;397.0;1710.2
2022-06-24;5107040;4118204;420.0;1710.2
2022-07-01;5107040;4118204;395.0;1710.2
2022-07-08;5107040;4118204;420.75;1710.2
2022-07-15;5107040;4118204;410.0;1710.2
2022-07-22;5107040;4118204;417.67;1710.2
2022-07-29;5107040;4118204;469.0;1710.2
2022-09-02;5107040;4118204;356.67;1710.2
2022-09-09;5107040;4118204;340.0;1710.2
2022-09-23;5107040;4118204;350.0;1710.2
2022-09-30;5107040;4118204;345.0;1710.2
2022-10-07;5107040;4118204;335.0;1710.2
2022-10-14;5107040;4118204;320.0;1710.2
2022-10-21;5107040;4118204;307.5;1710.2
2022-11-04;5107040;4118204;292.5;1710.2
2022-11-18;5107040;4118204;305.0;1710.2
2022-12-09;5107040;4118204;327.0;1710.2
2022-12-23;5107040;4118204;400.0;1710.2
2023-01-13;5107040;4118204;385.0;1710.2
2023-01-27;5107040;4118204;367.67;1710.2
2023-02-03;5107040;4118204;396.6;1710.2
2023-02-10;5107040;4118204;415.0;1710.2
2023-03-03;5107040;4118204;347.5;1710.2
2023-04-14;5107040;4118204;377.5;1710.2
2023-05-12;5107040;4118204;348.0;1710.2
2023-05-19;5107040;4118204;381.25;1710.2
2023-05-26;5107040;4118204;393.33;1710.2
2023-06-23;5107040;4118204;376.0;1710.2
2023-06-30;5107040;4118204;388.25;1710.2
2023-07-07;5107040;4118204;426.0;1710.2
2023-07-14;5107040;4118204;435.0;1710.2
2023-07-28;5107040;4118204;440.0;1710.2
2023-09-15;5107040;4118204;411.0;1710.2
2023-09-22;5107040;4118204;417.0;1710.2
2023-10-06;5107040;4118204;405.0;1710.2
2023-10-20;5107040;4118204;382.0;1710.2
2023-10-27;5107040;4118204;387.5;1710.2
2023-11-24;5107040;4118204;378.0;1710.2
2023-12-08;5107040;4118204;373.0;1710.2
2024-01-26;5107040;4118204;351.0;1710.2
2024-02-02;5107040;4118204;346.0;1710.2
2024-02-16;5107040;4118204;384.0;1710.2
2024-02-23;5107040;4118204;389.0;1710.2
2024-03-01;5107040;4118204;342.0;1710.2
2024-03-08;5107040;4118204;346.67;1710.2
2024-03-15;5107040;4118204;337.5;1710.2
2024-03-22;5107040;4118204;333.0;1710.2
2024-03-28;5107040;4118204;337.0;1710.2
2024-04-05;5107040;4118204;330.0;1710.2
2024-04-26;5107040;4118204;333.25;1710.2
2024-05-03;5107040;4118204;343.33;1710.2
2024-05-17;5107040;4118204;376.67;1710.2
2024-06-07;5107040;4118204;373.3;1710.2
2024-06-14;5107040;4118204;376.7;1710.2
2024-06-21;5107040;4118204;396.7;1710.2
2022-01-07;5107875;4118204;380.0;2364.51
2022-01-21;5107875;4118204;395.0;2364.51
2022-01-28;5107875;4118204;440.0;2364.51
2022-02-11;5107875;4118204;430.0;2364.51
2022-02-25;5107875;4118204;420.0;2364.51
2022-03-11;5107875;4118204;400.0;2364.51
2022-03-25;5107875;4118204;480.0;2364.51
2022-04-01;5107875;4118204;510.0;2364.51
2022-04-15;5107875;4118204;484.0;2364.51
2022-04-22;5107875;4118204;469.0;2364.51
2022-04-29;5107875;4118204;474.0;2364.51
2022-05-27;5107875;4118204;490.0;2364.51
2022-06-10;5107875;4118204;540.0;2364.51
2022-07-08;5107875;4118204;560.0;2364.51
2022-08-05;5107875;4118204;515.0;2364.51
2022-08-26;5107875;4118204;455.0;2364.51
2022-09-09;5107875;4118204;465.0;2364.51
2022-09-23;5107875;4118204;487.0;2364.51
2022-09-30;5107875;4118204;402.0;2364.51
2022-10-14;5107875;4118204;410.0;2364.51
2022-10-21;5107875;4118204;390.0;2364.51
2022-12-16;5107875;4118204;460.0;2364.51
2023-02-03;5107875;4118204;450.0;2364.51
2023-02-10;5107875;4118204;550.0;2364.51
2023-02-24;5107875;4118204;500.0;2364.51
2023-03-10;5107875;4118204;470.0;2364.51
2023-06-23;5107875;4118204;520.0;2364.51
2023-07-07;5107875;4118204;526.0;2364.51
2023-07-21;5107875;4118204;535.0;2364.51
2023-08-04;5107875;4118204;507.5;2364.51
2023-08-11;5107875;4118204;505.0;2364.51
2023-08-25;5107875;4118204;497.5;2364.51
2023-09-15;5107875;4118204;529.67;2364.51
2023-09-22;5107875;4118204;530.0;2364.51
2023-09-29;5107875;4118204;531.67;2364.51
2023-10-06;5107875;4118204;545.0;2364.51
2023-10-13;5107875;4118204;537.5;2364.51
2023-10-27;5107875;4118204;483.0;2364.51
2023-11-17;5107875;4118204;525.0;2364.51
2023-11-24;5107875;4118204;517.5;2364.51
2024-01-19;5107875;4118204;475.0;2364.51
2024-01-26;5107875;4118204;445.0;2364.51
2024-02-16;5107875;4118204;435.0;2364.51
2024-03-01;5107875;4118204;417.5;2364.51
2024-03-15;5107875;4118204;422.5;2364.51
2024-03-22;5107875;4118204;403.0;2364.51
2024-04-19;5107875;4118204;425.0;2364.51
2024-04-26;5107875;4118204;437.5;2364.51
2024-05-03;5107875;4118204;442.5;2364.51
2024-07-05;5107875;4118204;482.5;2364.51
2022-01-07;5105259;4118204;365.0;2127.16
2022-01-21;5105259;4118204;385.0;2127.16
2022-01-28;5105259;4118204;435.0;2127.16
2022-02-04;5105259;4118204;387.0;2127.16
2022-02-11;5105259;4118204;372.0;2127.16
2022-02-18;5105259;4118204;377.0;2127.16
2022-02-25;5105259;4118204;395.0;2127.16
2022-03-11;5105259;4118204;415.0;2127.16
2022-03-18;5105259;4118204;425.0;2127.16
2022-03-25;5105259;4118204;485.0;2127.16
2022-04-01;5105259;4118204;465.0;2127.16
2022-04-15;5105259;4118204;490.0;2127.16
2022-04-22;5105259;4118204;475.0;2127.16
2022-05-20;5105259;4118204;575.0;2127.16
2022-05-27;5105259;4118204;495.0;2127.16
2022-06-10;5105259;4118204;535.0;2127.16
2022-06-17;5105259;4118204;540.0;2127.16
2022-07-01;5105259;4118204;550.0;2127.16
2022-07-22;5105259;4118204;525.0;2127.16
2022-07-29;5105259;4118204;520.0;2127.16
2022-08-05;5105259;4118204;505.0;2127.16
2022-08-19;5105259;4118204;455.0;2127.16
2022-08-26;5105259;4118204;450.0;2127.16
2022-09-02;5105259;4118204;445.0;2127.16
2022-10-14;5105259;4118204;405.0;2127.16
2022-10-21;5105259;4118204;375.0;2127.16
2022-12-09;5105259;4118204;420.0;2127.16
2023-01-27;5105259;4118204;417.5;2127.16
2023-02-03;5105259;4118204;470.0;2127.16
2023-02-10;5105259;4118204;512.0;2127.16
2023-02-17;5105259;4118204;555.0;2127.16
2023-03-10;5105259;4118204;460.0;2127.16
2023-04-06;5105259;4118204;447.0;2127.16
2023-04-28;5105259;4118204;432.0;2127.16
2023-05-12;5105259;4118204;442.5;2127.16
2023-07-07;5105259;4118204;545.0;2127.16
2023-07-21;5105259;4118204;530.0;2127.16
2023-07-28;5105259;4118204;500.0;2127.16
2023-09-01;5105259;4118204;515.0;2127.16
2023-09-08;5105259;4118204;471.0;2127.16
2023-09-22;5105259;4118204;509.0;2127.16
2023-10-06;5105259;4118204;532.5;2127.16
2023-10-27;5105259;4118204;530.5;2127.16
2023-12-01;5105259;4118204;492.5;2127.16
2024-03-08;5105259;4118204;410.0;2127.16
2024-03-22;5105259;4118204;355.0;2127.16
2024-05-17;5105259;4118204;443.0;2127.16
2024-05-31;5105259;4118204;441.5;2127.16
2022-01-07;5107065;4118204;340.0;2018.58
2022-01-21;5107065;4118204;300.0;2018.58
2022-01-28;5107065;4118204;350.0;2018.58
2022-02-04;5107065;4118204;367.0;2018.58
2022-02-11;5107065;4118204;395.0;2018.58
2022-02-18;5107065;4118204;402.5;2018.58
2022-03-04;5107065;4118204;400.0;2018.58
2022-03-11;5107065;4118204;405.0;2018.58
2022-03-18;5107065;4118204;435.0;2018.58
2022-03-25;5107065;4118204;432.0;2018.58
2022-04-01;5107065;4118204;433.0;2018.58
2022-04-08;5107065;4118204;427.33;2018.58
2022-04-15;5107065;4118204;460.0;2018.58
2022-04-22;5107065;4118204;450.0;2018.58
2022-04-29;5107065;4118204;465.0;2018.58
2022-05-13;5107065;4118204;480.0;2018.58
2022-05-20;5107065;4118204;448.0;2018.58
2022-05-27;5107065;4118204;452.0;2018.58
2022-06-10;5107065;4118204;500.0;2018.58
2022-06-24;5107065;4118204;520.0;2018.58
2022-07-01;5107065;4118204;470.0;2018.58
2022-07-08;5107065;4118204;513.0;2018.58
2022-07-15;5107065;4118204;537.0;2018.58
2022-07-22;5107065;4118204;560.0;2018.58
2022-07-29;5107065;4118204;530.0;2018.58
2022-08-05;5107065;4118204;510.0;2018.58
2022-09-09;5107065;4118204;420.0;2018.58
2022-09-23;5107065;4118204;425.0;2018.58
2022-11-04;5107065;4118204;440.0;2018.58
2023-01-20;5107065;4118204;380.0;2018.58
2023-05-12;5107065;4118204;410.0;2018.58
2023-05-19;5107065;4118204;434.0;2018.58
2023-06-02;5107065;4118204;444.0;2018.58
2023-06-30;5107065;4118204;479.0;2018.58
2023-07-21;5107065;4118204;516.33;2018.58
2023-07-28;5107065;4118204;525.0;2018.58
2023-08-04;5107065;4118204;502.0;2018.58
2023-08-25;5107065;4118204;490.0;2018.58
2023-09-08;5107065;4118204;485.0;2018.58
2023-09-15;5107065;4118204;464.0;2018.58
2023-09-22;5107065;4118204;467.0;2018.58
2023-10-06;5107065;4118204;451.0;2018.58
2023-10-20;5107065;4118204;475.0;2018.58
2023-11-10;5107065;4118204;445.0;2018.58
2023-11-24;5107065;4118204;452.5;2018.58
2023-12-08;5107065;4118204;417.5;2018.58
2023-12-22;5107065;4118204;430.0;2018.58
2023-12-28;5107065;4118204;415.0;2018.58
2024-01-12;5107065;4118204;375.0;2018.58
2024-01-19;5107065;4118204;353.33;2018.58
2024-01-26;5107065;4118204;360.0;2018.58
2024-02-02;5107065;4118204;351.33;2018.58
2024-02-09;5107065;4118204;412.5;2018.58
2024-02-16;5107065;4118204;436.67;2018.58
2024-03-01;5107065;4118204;388.0;2018.58
2024-03-08;5107065;4118204;390.0;2018.58
2024-03-22;5107065;4118204;385.0;2018.58
2024-04-05;5107065;4118204;366.67;2018.58
2024-04-12;5107065;4118204;351.5;2018.58
2024-04-19;5107065;4118204;370.0;2018.58
2024-04-26;5107065;4118204;351.0;2018.58
2024-05-10;5107065;4118204;374.5;2018.58
2024-05-17;5107065;4118204;398.0;2018.58
2024-06-14;5107065;4118204;447.5;2018.58
2022-01-07;5107909;4118204;380.0;2271.74
2022-01-21;5107909;4118204;400.0;2271.74
2022-02-11;5107909;4118204;420.0;2271.74
2022-02-18;5107909;4118204;430.0;2271.74
2022-02-25;5107909;4118204;410.0;2271.74
2022-03-18;5107909;4118204;440.0;2271.74
2022-03-25;5107909;4118204;500.0;2271.74
2022-04-15;5107909;4118204;510.0;2271.74
2022-04-22;5107909;4118204;480.0;2271.74
2022-04-29;5107909;4118204;490.0;2271.74
2022-05-13;5107909;4118204;590.0;2271.74
2022-06-10;5107909;4118204;512.0;2271.74
2022-06-17;5107909;4118204;560.0;2271.74
2022-07-01;5107909;4118204;570.0;2271.74
2022-07-08;5107909;4118204;545.0;2271.74
2022-07-15;5107909;4118204;540.0;2271.74
2022-08-05;5107909;4118204;520.0;2271.74
2022-08-19;5107909;4118204;470.0;2271.74
2022-08-26;5107909;4118204;465.0;2271.74
2022-09-02;5107909;4118204;460.0;2271.74
2022-09-30;5107909;4118204;450.0;2271.74
2022-10-21;5107909;4118204;390.0;2271.74
2023-02-03;5107909;4118204;530.0;2271.74
2023-03-10;5107909;4118204;475.0;2271.74
2023-07-21;5107909;4118204;550.0;2271.74
